bvid,title,play_count,duration,author,description
BV1AQ4y1N7We,"【<em class=""keyword"">黄梅戏</em>】《慈母泪》唱段合集-张莉 柯随新 汤寿庭[湖北省黄梅县剧院]",3030,43:34,小蕾M南昌,【黄梅戏】《慈母泪》唱段合集-张莉 柯随新 汤寿庭
BV1UV4y1n7dk,"天女散花＋扮皇帝＋戏凤-何云 周珊<em class=""keyword"">黄梅戏</em>游龙戏凤名唱段",25190,8:55,爱唱戏的宝琴,-
BV1m8411Y7ZM,"AI修复<em class=""keyword"">黄梅戏</em>《小辞店》全剧1988韩再芬1080p",48380,87:36,太阳骷髅,重磅推出：努力修复的精华作品！请大家欣赏。如有网友提供正版DVD，我将不惜一切代价尝试4K修复。
BV1oq4y1N7ug,"网红想火想疯了？魔改中国非遗“<em class=""keyword"">黄梅戏</em>”，惨遭央视发文“怒”批",3594020,4:29,下饭音乐,要说现在刷手机，新歌没几首，老歌倒是不断被 魔改翻唱~甚至为了流量，网红们跟风拍摄 根本不管歌曲内容~今天饭饭 就带来的几首 被网红玩“变味”的歌，坚持听完的 可都是我的死忠粉呐
BV11Z4y1W7Lm,"【<em class=""keyword"">黄梅戏</em>】《游龙戏凤》何云 周珊[高清完整版]",61142,296:5,小蕾M南昌,这个戏我更喜欢越剧《梅龙镇》，有兴趣推荐看看。邵氏黄梅调《江山美人》也是有名的
BV1EW411M7A6,京剧【穆桂英挂帅】（高清舞台版）李胜素 于魁智 杨赤 袁慧琴 杜喆 潘月娇 戴忠宇 黄炳强等,800594,105:35,哐啷啷叮咯咙咚呛,北宋时，西夏犯境。辞朝隐居的佘太君闻讯，遣曾孙杨文广、曾孙女杨金花去汴京探听。此时宋王校场选帅，少年气盛的文广、金花在校场刀劈兵部尚书王强之子王伦，夺得帅印归来。宋王得知杨门之子遂封穆桂英为帅出征，穆桂英深感朝廷刻薄寡恩，不愿再为它效力。佘太君劝她以抵御西夏侵扰为重。为了国家安危，老年的穆桂英披上旧日的铠甲，满怀豪情又擂响了出征的战鼓....
BV1Wx411j7EZ,"【<em class=""keyword"">黃梅戲</em>】《泪洒相思地》- 馬自俊/滿玲玲",28116,140:18,小蕾M南昌,【黃梅戲】泪洒相思地-馬自俊/滿玲玲（安慶黃梅戲一團）
BV1Qx411V7ks,"<em class=""keyword"">黄梅戏</em>合集",338029,13243:0,jys_913,"黄梅戏搬运
黄梅戏的起源最早可追溯到唐代。据史料记载，早于唐代时期，黄梅采茶歌就很盛行，经宋代民歌的发展、元代杂剧的影响，逐渐形成民间戏曲雏形。至明清，黄梅县戏风更盛。

黄梅戏前身即采茶调、采子、黄梅调等，后称黄梅戏。起源于黄梅县多云山区、太白湖畔的樵歌畈腔采茶调，形成于清道光年间，流播于长江中下游的湖北、安徽、江西、江苏等省周边的广袤区域。邢绣娘、余海先等一批先辈艺术家为黄梅戏的形成、发展和流播作出过杰出的贡献。"
BV1cU4y1j7EC,"【<em class=""keyword"">黄梅戏</em>】《家》侯长荣 吴亚玲 周莉 谢雨欣等[高清完整版]",38540,349:37,小蕾M南昌,安徽省黄和安庆二团共同排演，由安徽台于96年拍摄，候长荣等优秀演员将《家》中的矛盾以及剧情用黄梅戏的形式展现在观众面前。此片一播出在戏曲及电视界均引起了强烈反响，曾获16届飞天奖二等奖，14届《大众电视》金鹰奖最佳戏曲片奖，“五个一工程”奖，全国戏曲二等奖，中国戏曲音乐优秀作曲。【【黄梅戏】《家春秋》侯长荣×周莉×韩再芬×吴亚玲×张辉×谢雨欣×耿炎×周天虹×孙娟×周源源等[已完结]-哔哩哔哩】 https://b23.tv/fqkAd7r
BV1EV4n1n7S7,黄梅小戏《游春》 吴亚玲、黄宗毅、周珊,5391,23:37,亚亚玲的铃铛,
BV1vW411v7qn,"【<em class=""keyword"">黄梅戏</em>】《天仙配》（1955年）严凤英+王少舫",286007,96:2,洛空蝉,"网络
1954年，该剧参加华东区戏曲观摩演出大会，获优秀演出奖、剧本奖、道演奖、音乐奖，饰七仙女的严凤英、饰董永的王少舫获演员一等奖。1957年获文化部优秀舞台艺术片二等奖。
演员表：
严凤英 饰 七仙女
王少舫 饰 董永
张云峰 饰 傅员外
胡霞琳 饰 赵贵
丁紫臣 饰 土地
潘璟蜊 饰 二姐
潘霞云 饰 三姐
丁俊美 饰 四姐
江明安 饰 五姐
王少梅 饰 大姐"
BV1x4411P72h,"<em class=""keyword"">黄梅戏</em>《天仙配》高清",195660,134:13,老叟八十还犁田,"转自cctv http://tv.cctv.com/2019/06/10/VIDEgkHN7UyaPuyLRiWBuzmf190610.shtml
美丽善良的七仙女爱上了朴实憨厚的青年董永，私自从天庭下到凡尘，与董永结为夫妻，玉皇大帝得知怒不可遏，命令七仙女立刻返回天庭，七仙女为了不使董永受到伤害，只好忍住悲痛，在槐荫树下与董永泣别。"
BV15C4y1p7cm,"<em class=""keyword"">黄梅戏</em>《一捧战袍心欲碎》合集",2657,92:22,吕小英9999,https://video.tudou.com/v/XMjk3NjM4NDUyOA==.html?spm=a2h0k.8191414.0.0&amp;from=s1.8-1-1.2
BV1aH4y1f79B,"冷嗖嗖的下雨天，清唱一首<em class=""keyword"">黄梅戏</em>~",2657167,3:35,-书琳,-
BV1wv4y1U7AT,"【修复版】<em class=""keyword"">黄梅戏</em>电视剧《家春秋》侯长荣×周莉×韩再芬×吴亚玲×张辉×谢雨欣×耿炎×周天虹×孙娟×周源源等[已完结]",23235,976:57,小蕾M南昌,"视频修复@太阳骷髅，感谢付出时间并分享！禁止去水印二传。VCD原盘资源，无台标版。经典作品，名家荟萃且都是年轻鼎盛时期，不一一赘述啦！一起重温经典就对了…【《家》侯长荣 吴亚玲 周莉 谢雨欣等[高清完整版]https://b23.tv/v2YCkHy
【《春》侯长荣 周莉 孙娟 张莉莉等[高清完整版]-https://b23.tv/iMeeoVG
【《秋》侯长荣 韩再芬 周源源 张辉等[高清完整版]https://b23.tv/0fcZxbd"
BV1G44y177oM,"等我老了也爱听的<em class=""keyword"">黄梅戏</em>唱段——<em class=""keyword"">黄梅戏</em>孟姜女·杨俊张辉",15232,13:35,爱唱戏的宝琴,清晰版看着养眼，修复:士心木易
BV1jq4y1J7jA,"5首动听<em class=""keyword"">黄梅戏</em>对唱选段，袁媛赵章伟杨俊韩再芬等演唱",5469,21:21,人生秀场,
BV1W64y1M7qQ,"【<em class=""keyword"">黄梅戏</em>】《荞麦记》郭霄珍 龙宝玲 潘文格[DVD完整版]",18429,115:9,小蕾M南昌,这是我认识郭老师的启蒙戏，非常喜欢这个打扮的造型，就唱腔略逊一筹，不算非常好听
