bvid,title,play_count,duration,author,description
BV1Ga411Z7aQ,"<em class=""keyword"">黄梅戏</em>合集",18411,6759:55,yyxz12138,黄梅戏
BV14t411Y7xf,"<em class=""keyword"">黄梅戏</em>《王小六系列》",11096,404:1,三秋i,
BV1Vt41127Qd,"<em class=""keyword"">黄梅戏</em>电影小合集",23492,715:12,刘景升和蒋某人,
BV13z411b7Le,"【<em class=""keyword"">黄梅戏</em>】《挑女婿》——吴亚玲、蒋建国等（安徽省<em class=""keyword"">黄梅戏</em>剧院）",4681,55:18,-紫金钵盂-,"网络
【黄梅戏】《挑女婿》——吴亚玲、蒋建国等（安徽省黄梅戏剧院）"
BV1bb411i7xc,"【<em class=""keyword"">黄梅戏</em>】《春江月》郭宵珍 刘国平 潘文革等[完整版]",10760,155:43,小蕾M南昌,黄梅戏《春江月-全》郭宵珍、刘国平等
BV1hx411G7hx,马兰 － 《严凤英》唱段合集,30901,55:3,一流第九,黄梅戏 马兰 《严凤英》唱段
BV1ns411y7ab,"<em class=""keyword"">黄梅戏</em>《女驸马》全剧 名家韩再芬",887664,112:52,韩家的小安,"黄梅戏，旧称黄梅调或采茶戏，与京剧、越剧、评剧 、豫剧并称中国五大剧种。黄梅戏唱腔淳朴流畅，以明快抒情见长，具有丰富的表现力；黄梅戏的表演质朴细致，以真实活泼著称。一曲《天仙配》让黄梅戏流行于大江南北，在海外亦有较高声誉。
《女驸马》黄梅戏经典大戏。"
BV1ZS4y1N72h,"<em class=""keyword"">黄梅戏</em>《孬子借种》全集，民间戏曲有味道",8143,45:30,钱统武,黄梅戏《孬子借种》全集，民间戏曲有味道
BV1qr4f1Q7ud,"《<em class=""keyword"">黄梅戏</em>》—慕容晓晓",12988,3:50,糖葫芦里没葫芦,
BV1Uf4y1F756,"没对比就没伤害！当网红与<em class=""keyword"">黄梅戏</em>大神同唱《女驸马》，太碾压了！",1733381,3:48,喵喵音乐台,没对比就没伤害！当网红与黄梅戏大神同唱《女驸马》，太碾压了！
BV1Jt4y1R72B,"【Hi-Res无损音质】慕容晓晓《<em class=""keyword"">黄梅戏</em>》",56077,3:46,鱼吐泡泡の音乐台,我的工资又在何方……
BV1BY4y1A75N,1-50  黄  梅  全  场  戏,8426,7167:40,青春的双曲线555,"网络
戏曲黄梅戏"
BV1ZP4y1h7aF,为  救  李  郎  离  家  园,2314851,3:47,雨落随风吹丶,"BGM：黄梅戏——慕容晓晓
往期视频：
BV1qb4y1279b
BV1Hh411s7XA
BV13L411t7DH"
